33011,1377986420,0,1,1,0,3
33012,1377986420,3.216,0,1,0,3
33429,1377986420,0,1,0,0,5
33430,1377986420,3.216,0,0,0,5
33431,1377986420,0,1,1,0,5
33432,1377986420,2.25,0,1,0,5
33433,1377986420,0,1,2,0,5
33434,1377986420,2.25,0,2,0,5
33461,1377986420,0,1,1,0,7
33462,1377986420,2.25,0,1,0,7
33463,1377986420,0,1,2,0,7
33464,1377986420,3.216,0,2,0,7
33521,1377986420,0,1,1,0,9
33522,1377986420,3.216,0,1,0,9
65561,1377986440,0,1,0,0,2
65562,1377986440,0.788,0,0,0,2
66255,1377986440,0,1,0,0,3
66256,1377986440,0.355,0,0,0,3
66257,1377986440,0,1,1,0,3
66258,1377986440,3.216,0,1,0,3
66927,1377986440,0,1,0,0,4
66928,1377986440,0.788,0,0,0,4
66929,1377986440,0,1,1,0,4
66930,1377986440,0.355,0,1,0,4
67029,1377986440,0,1,0,0,5
67030,1377986440,3.216,0,0,0,5
67031,1377986440,0,1,1,0,5
67032,1377986440,2.25,0,1,0,5
67033,1377986440,0,1,2,0,5
67034,1377986440,2.25,0,2,0,5
67045,1377986440,0,1,0,0,6
67046,1377986440,0.355,0,0,0,6
67047,1377986440,0,1,1,0,6
67048,1377986440,0.962,0,1,0,6
67049,1377986440,0,1,2,0,6
67050,1377986440,0.962,0,2,0,6
67075,1377986440,0,1,1,0,7
67076,1377986440,2.25,0,1,0,7
67077,1377986440,0,1,2,0,7
67078,1377986440,3.216,0,2,0,7
67173,1377986440,0,1,1,0,9
67174,1377986440,3.216,0,1,0,9
99243,1377986460,0,1,0,0,2
99244,1377986460,0.788,0,0,0,2
99831,1377986460,0,1,1,0,3
99832,1377986460,3.216,0,1,0,3
100407,1377986460,0,1,0,0,4
100408,1377986460,0.788,0,0,0,4
100513,1377986460,0,1,0,0,5
100514,1377986460,3.216,0,0,0,5
100515,1377986460,0,1,1,0,5
100516,1377986460,2.25,0,1,0,5
100517,1377986460,0,1,2,0,5
100518,1377986460,2.25,0,2,0,5
100551,1377986460,0,1,1,0,7
100552,1377986460,2.25,0,1,0,7
100553,1377986460,0,1,2,0,7
100554,1377986460,3.216,0,2,0,7
100641,1377986460,0,1,1,0,9
100642,1377986460,3.216,0,1,0,9
131979,1377986480,0,1,0,0,0
131980,1377986480,0.982,0,0,0,0
132351,1377986480,0,1,0,0,2
132352,1377986480,0.788,0,0,0,2
133301,1377986480,0,1,0,0,4
133302,1377986480,0.788,0,0,0,4
133303,1377986480,0,1,2,0,4
133304,1377986480,0.982,0,2,0,4
133393,1377986480,0,1,1,0,5
133394,1377986480,2.25,0,1,0,5
133395,1377986480,0,1,2,0,5
133396,1377986480,2.25,0,2,0,5
133429,1377986480,0,1,0,0,7
133430,1377986480,0.982,0,0,0,7
133431,1377986480,0,1,1,0,7
133432,1377986480,2.25,0,1,0,7
165121,1377986500,9.853,1,2,0,0
165122,1377986500,11.721,0,2,0,0
165575,1377986500,0,1,0,0,2
165576,1377986500,0.788,0,0,0,2
166721,1377986500,0,1,0,0,4
166722,1377986500,0.788,0,0,0,4
166825,1377986500,0,1,1,0,5
166826,1377986500,2.25,0,1,0,5
166827,1377986500,0,1,2,0,5
166828,1377986500,2.25,0,2,0,5
166839,1377986500,0,1,1,0,6
166840,1377986500,0.962,0,1,0,6
166841,1377986500,0,1,2,0,6
166842,1377986500,0.962,0,2,0,6
166861,1377986500,0,1,1,0,7
166862,1377986500,2.25,0,1,0,7
166919,1377986500,13.68,1,0,0,8
166920,1377986500,11.721,0,0,0,8
198217,1377986520,9.05,1,2,0,0
198218,1377986520,11.721,0,2,0,0
198589,1377986520,0,1,0,0,2
198590,1377986520,0.788,0,0,0,2
198595,1377986520,0,1,2,0,2
198596,1377986520,0.161,0,2,0,2
199055,1377986520,0,1,0,0,3
199056,1377986520,0.355,0,0,0,3
199503,1377986520,0,1,0,0,4
199504,1377986520,0.788,0,0,0,4
199505,1377986520,0,1,1,0,4
199506,1377986520,0.355,0,1,0,4
199593,1377986520,0,1,0,0,6
199594,1377986520,0.355,0,0,0,6
199663,1377986520,13.165,1,0,0,8
199664,1377986520,11.721,0,0,0,8
199675,1377986520,0,1,0,0,9
199676,1377986520,0.161,0,0,0,9
199681,1377986520,0,1,2,0,9
199682,1377986520,0.161,0,2,0,9
231745,1377986540,0,1,0,0,0
231746,1377986540,0.982,0,0,0,0
231747,1377986540,8.885,1,2,0,0
231748,1377986540,11.721,0,2,0,0
232197,1377986540,0,1,0,0,2
